display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
facade,facade,true,S,fd9c128e-ae85-4005-ade3-009f724aefbf,,S,add_thermochromic_bipv.facade,false,,,false,true,false,S,,string,true,add_thermochromic_bipv,Add Thermochromic BIPV,variable
State switching temperature for thermochromic window,switch_t,true,50,fd9c128e-ae85-4005-ade3-009f724aefbf,,5,add_thermochromic_bipv.switch_t,false,,,false,true,false,10,C,double,true,add_thermochromic_bipv,Add Thermochromic BIPV,variable
Weather File Name,weather_file_name,true,"",501245d5-84b2-438d-a8a8-bc6bf52c75fc,,"",change_building_location.weather_file_name,false,,,false,true,false,SAU_Riyadh.404380_IWEC.epw,"",string,true,change_building_location,ChangeBuildingLocation,variable
Window to Wall Ratio.,wwr,true,0,823e74b5-7fef-4c6b-8271-08955aa897b9,,0,create_bar_from_building_type_ratios.wwr,false,,,false,true,false,0.4,"",double,true,create_bar_from_building_type_ratios,Create Bar From Building Type Ratios,variable
building_area_ft,building_area_ft,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_area_ft,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_apr,building_elec_apr,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_apr,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_aug,building_elec_aug,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_aug,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_dec,building_elec_dec,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_dec,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_feb,building_elec_feb,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_feb,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_jan,building_elec_jan,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_jan,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_jul,building_elec_jul,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_jul,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_jun,building_elec_jun,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_jun,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_mar,building_elec_mar,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_mar,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_may,building_elec_may,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_may,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_nov,building_elec_nov,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_nov,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_oct,building_elec_oct,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_oct,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_elec_sep,building_elec_sep,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_elec_sep,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_apr,building_gas_apr,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_apr,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_aug,building_gas_aug,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_aug,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_dec,building_gas_dec,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_dec,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_feb,building_gas_feb,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_feb,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_jan,building_gas_jan,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_jan,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_jul,building_gas_jul,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_jul,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_jun,building_gas_jun,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_jun,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_mar,building_gas_mar,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_mar,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_may,building_gas_may,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_may,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_nov,building_gas_nov,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_nov,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_oct,building_gas_oct,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_oct,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
building_gas_sep,building_gas_sep,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.building_gas_sep,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
capacity_factor,capacity_factor,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.capacity_factor,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_apr,light_energy_apr,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_apr,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_aug,light_energy_aug,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_aug,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_dec,light_energy_dec,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_dec,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_feb,light_energy_feb,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_feb,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_jan,light_energy_jan,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_jan,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_jul,light_energy_jul,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_jul,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_jun,light_energy_jun,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_jun,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_mar,light_energy_mar,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_mar,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_may,light_energy_may,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_may,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_nov,light_energy_nov,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_nov,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_oct,light_energy_oct,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_oct,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
light_energy_sep,light_energy_sep,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.light_energy_sep,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_apr,panel_dc_gen_apr,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_apr,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_aug,panel_dc_gen_aug,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_aug,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_dec,panel_dc_gen_dec,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_dec,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_feb,panel_dc_gen_feb,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_feb,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_jan,panel_dc_gen_jan,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_jan,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_jul,panel_dc_gen_jul,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_jul,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_jun,panel_dc_gen_jun,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_jun,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_mar,panel_dc_gen_mar,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_mar,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_may,panel_dc_gen_may,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_may,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_nov,panel_dc_gen_nov,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_nov,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_oct,panel_dc_gen_oct,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_oct,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
panel_dc_gen_sep,panel_dc_gen_sep,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.panel_dc_gen_sep,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_electricity,total_electricity,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_electricity,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_electricity_cooling,total_electricity_cooling,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_electricity_cooling,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_electricity_heating,total_electricity_heating,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_electricity_heating,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_electricity_lighting,total_electricity_lighting,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_electricity_lighting,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_gas,total_gas,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_gas,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_gas_heating,total_gas_heating,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_gas_heating,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
total_pv,total_pv,true,,90fe4d47-2fd3-4698-b52c-4229eb8bfb09,,,window_pv_reporting.total_pv,false,,,true,false,false,,,double,true,window_pv_reporting,WindowPV Reporting,output
